model,seed,mode,threshold,val_dice
resunet_dsp,42,plain,0.2,0.8660348153114319
resunet_dsp,42,plain,0.225,0.8688651990890502
resunet_dsp,42,plain,0.25,0.8710569047927856
resunet_dsp,42,plain,0.275,0.8728676795959472
resunet_dsp,42,plain,0.3,0.8743816566467285
resunet_dsp,42,plain,0.325,0.8756400966644287
resunet_dsp,42,plain,0.35,0.8767963290214539
resunet_dsp,42,plain,0.375,0.8778542137145996
resunet_dsp,42,plain,0.4,0.8788797283172607
resunet_dsp,42,plain,0.425,0.8798165059089661
resunet_dsp,42,plain,0.45,0.8806154465675354
resunet_dsp,42,plain,0.475,0.8810389041900635
resunet_dsp,42,plain,0.5,0.8811205196380615
resunet_dsp,42,plain,0.525,0.8812009167671203
resunet_dsp,42,plain,0.55,0.8811924147605896
resunet_dsp,42,plain,0.575,0.8810312747955322
resunet_dsp,42,plain,0.6,0.8808550310134887
resunet_dsp,42,plain,0.625,0.8807233667373657
resunet_dsp,42,plain,0.65,0.8804027891159057
resunet_dsp,42,hflip,0.2,0.8675766921043396
resunet_dsp,42,hflip,0.225,0.8705894327163697
resunet_dsp,42,hflip,0.25,0.8730545687675476
resunet_dsp,42,hflip,0.275,0.8748575425148011
resunet_dsp,42,hflip,0.3,0.8759314393997193
resunet_dsp,42,hflip,0.325,0.876824996471405
resunet_dsp,42,hflip,0.35,0.8778982353210449
resunet_dsp,42,hflip,0.375,0.8789480018615723
resunet_dsp,42,hflip,0.4,0.8796831178665161
resunet_dsp,42,hflip,0.425,0.8801937317848205
resunet_dsp,42,hflip,0.45,0.8806582164764404
resunet_dsp,42,hflip,0.475,0.8810164928436279
resunet_dsp,42,hflip,0.5,0.8810694217681885
resunet_dsp,42,hflip,0.525,0.8808550381660462
resunet_dsp,42,hflip,0.55,0.880883674621582
resunet_dsp,42,hflip,0.575,0.8808497023582459
resunet_dsp,42,hflip,0.6,0.8806219244003296
resunet_dsp,42,hflip,0.625,0.8802072310447693
resunet_dsp,42,hflip,0.65,0.8795903944969177
