model,mode,threshold,val_dice
resunet,hflip,0.2,0.8632174714406332
resunet,hflip,0.225,0.8662708894411724
resunet,hflip,0.25,0.8688900423049928
resunet,hflip,0.275,0.8711994393666584
resunet,hflip,0.3,0.8733105293909708
resunet,hflip,0.325,0.8753122695287069
resunet,hflip,0.35,0.8770254214604695
resunet,hflip,0.375,0.8785481301943462
resunet,hflip,0.4,0.8799471108118694
resunet,hflip,0.425,0.8811885889371237
resunet,hflip,0.45,0.8819890817006429
resunet,hflip,0.475,0.8824650677045186
resunet,hflip,0.5,0.8826788043975831
resunet,hflip,0.525,0.8823478611310324
resunet,hflip,0.55,0.8820059466362
resunet,hflip,0.575,0.881579360961914
resunet,hflip,0.6,0.8810597952206929
resunet,hflip,0.625,0.8802598031361898
resunet,hflip,0.65,0.8792428414026897
resunet,plain,0.2,0.8659458843866984
resunet,plain,0.225,0.8683413227399189
resunet,plain,0.25,0.8704256669680278
resunet,plain,0.275,0.8720983219146728
resunet,plain,0.3,0.8735281666119894
resunet,plain,0.325,0.87462211449941
resunet,plain,0.35,0.8756114951769511
resunet,plain,0.375,0.8765072425206503
resunet,plain,0.4,0.8772686171531677
resunet,plain,0.425,0.8779541007677714
resunet,plain,0.45,0.8786540253957114
resunet,plain,0.475,0.8792770854632059
resunet,plain,0.5,0.8797976152102152
resunet,plain,0.525,0.8801726810137431
resunet,plain,0.55,0.8801744802792867
resunet,plain,0.575,0.8801415713628132
resunet,plain,0.6,0.8799520778656006
resunet,plain,0.625,0.8796234432856243
resunet,plain,0.65,0.8790989383061727
