model,seed,mode,threshold,val_dice
resunet,42,plain,0.2,0.8540317916870117
resunet,42,plain,0.225,0.8573759937286377
resunet,42,plain,0.25,0.860267903804779
resunet,42,plain,0.275,0.8625771808624267
resunet,42,plain,0.3,0.8645774793624877
resunet,42,plain,0.325,0.8662902283668518
resunet,42,plain,0.35,0.8678988885879516
resunet,42,plain,0.375,0.8693037152290344
resunet,42,plain,0.4,0.8705207252502442
resunet,42,plain,0.425,0.87165771484375
resunet,42,plain,0.45,0.8729701185226441
resunet,42,plain,0.475,0.8740915727615356
resunet,42,plain,0.5,0.8749936294555664
resunet,42,plain,0.525,0.8755135822296143
resunet,42,plain,0.55,0.875122230052948
resunet,42,plain,0.575,0.8746428680419922
resunet,42,plain,0.6,0.8740656089782715
resunet,42,plain,0.625,0.8733506679534913
resunet,42,plain,0.65,0.8723599195480347
resunet,42,hflip,0.2,0.8512861967086792
resunet,42,hflip,0.225,0.855073676109314
resunet,42,hflip,0.25,0.8584775257110596
resunet,42,hflip,0.275,0.8615267372131348
resunet,42,hflip,0.3,0.8645985913276673
resunet,42,hflip,0.325,0.8675490617752075
resunet,42,hflip,0.35,0.8699215531349183
resunet,42,hflip,0.375,0.8718602895736695
resunet,42,hflip,0.4,0.8735171842575074
resunet,42,hflip,0.425,0.8750486826896667
resunet,42,hflip,0.45,0.8759482884407044
resunet,42,hflip,0.475,0.8763758397102356
resunet,42,hflip,0.5,0.8766640639305114
resunet,42,hflip,0.525,0.8767193508148193
resunet,42,hflip,0.55,0.8762651419639588
resunet,42,hflip,0.575,0.8756096363067627
resunet,42,hflip,0.6,0.8747750926017761
resunet,42,hflip,0.625,0.873461172580719
resunet,42,hflip,0.65,0.8717091345787048
resunet,43,plain,0.2,0.8693897581100464
resunet,43,plain,0.225,0.8710250139236451
resunet,43,plain,0.25,0.8726110696792603
resunet,43,plain,0.275,0.8739004850387573
resunet,43,plain,0.3,0.8751114320755005
resunet,43,plain,0.325,0.8759860181808472
resunet,43,plain,0.35,0.8767752885818482
resunet,43,plain,0.375,0.8775203251838684
resunet,43,plain,0.4,0.878132746219635
resunet,43,plain,0.425,0.8786590957641601
resunet,43,plain,0.45,0.879171781539917
resunet,43,plain,0.475,0.8796370673179627
resunet,43,plain,0.5,0.8801201415061951
resunet,43,plain,0.525,0.880580837726593
resunet,43,plain,0.55,0.8809573698043823
resunet,43,plain,0.575,0.8812758421897888
resunet,43,plain,0.6,0.8814659571647644
resunet,43,plain,0.625,0.8814213418960571
resunet,43,plain,0.65,0.8812881565093994
resunet,43,hflip,0.2,0.8658688545227051
resunet,43,hflip,0.225,0.8684423995018006
resunet,43,hflip,0.25,0.8706068539619446
resunet,43,hflip,0.275,0.8725136518478394
resunet,43,hflip,0.3,0.8743485498428345
resunet,43,hflip,0.325,0.8759931898117066
resunet,43,hflip,0.35,0.8776185083389282
resunet,43,hflip,0.375,0.8792019772529602
resunet,43,hflip,0.4,0.8808078455924988
resunet,43,hflip,0.425,0.8821708750724793
resunet,43,hflip,0.45,0.8830840563774109
resunet,43,hflip,0.475,0.8837435007095337
resunet,43,hflip,0.5,0.8841679430007935
resunet,43,hflip,0.525,0.8842353057861329
resunet,43,hflip,0.55,0.884347927570343
resunet,43,hflip,0.575,0.8844765734672546
resunet,43,hflip,0.6,0.8844624376296997
resunet,43,hflip,0.625,0.8841853594779968
resunet,43,hflip,0.65,0.883723521232605
resunet,44,plain,0.2,0.8744161033630371
resunet,44,plain,0.225,0.8766229605674744
resunet,44,plain,0.25,0.8783980274200439
resunet,44,plain,0.275,0.8798172998428345
resunet,44,plain,0.3,0.8808955883979798
resunet,44,plain,0.325,0.881590096950531
resunet,44,plain,0.35,0.8821603083610534
resunet,44,plain,0.375,0.8826976871490478
resunet,44,plain,0.4,0.883152379989624
resunet,44,plain,0.425,0.8835454916954041
resunet,44,plain,0.45,0.8838201761245728
resunet,44,plain,0.475,0.8841026163101197
resunet,44,plain,0.5,0.8842790746688842
resunet,44,plain,0.525,0.884423623085022
resunet,44,plain,0.55,0.8844438409805297
resunet,44,plain,0.575,0.8845060038566589
resunet,44,plain,0.6,0.8843246674537659
resunet,44,plain,0.625,0.8840983200073242
resunet,44,plain,0.65,0.883648738861084
resunet,44,hflip,0.2,0.8724973630905152
resunet,44,hflip,0.225,0.8752965927124023
resunet,44,hflip,0.25,0.8775857472419739
resunet,44,hflip,0.275,0.8795579290390014
resunet,44,hflip,0.3,0.8809844470024109
resunet,44,hflip,0.325,0.8823945569992065
resunet,44,hflip,0.35,0.8835362029075623
resunet,44,hflip,0.375,0.8845821237564087
resunet,44,hflip,0.4,0.8855163025856018
resunet,44,hflip,0.425,0.8863462090492249
resunet,44,hflip,0.45,0.8869349002838135
resunet,44,hflip,0.475,0.8872758626937867
resunet,44,hflip,0.5,0.8872044062614441
resunet,44,hflip,0.525,0.8860889267921448
resunet,44,hflip,0.55,0.8854047703742981
resunet,44,hflip,0.575,0.8846518731117249
resunet,44,hflip,0.6,0.883941855430603
resunet,44,hflip,0.625,0.8831328773498535
resunet,44,hflip,0.65,0.882295868396759
