model,mode,threshold,val_dice
resunet_spc,hflip,0.2,0.8739802718162536
resunet_spc,hflip,0.225,0.8764075986544292
resunet_spc,hflip,0.25,0.8782895572980246
resunet_spc,hflip,0.275,0.8798880052566528
resunet_spc,hflip,0.3,0.8813392575581869
resunet_spc,hflip,0.325,0.882554829120636
resunet_spc,hflip,0.35,0.8837602416674296
resunet_spc,hflip,0.375,0.8848916053771972
resunet_spc,hflip,0.4,0.8858431013425191
resunet_spc,hflip,0.425,0.8866969339052836
resunet_spc,hflip,0.45,0.887366505463918
resunet_spc,hflip,0.475,0.8877580253283183
resunet_spc,hflip,0.5,0.8882338500022887
resunet_spc,hflip,0.525,0.8881167340278626
resunet_spc,hflip,0.55,0.8879893573125203
resunet_spc,hflip,0.575,0.8877720403671265
resunet_spc,hflip,0.6,0.8875218470891317
resunet_spc,hflip,0.625,0.8871540927886962
resunet_spc,hflip,0.65,0.8866191617647807
resunet_spc,plain,0.2,0.8768869757652283
resunet_spc,plain,0.225,0.8787641358375549
resunet_spc,plain,0.25,0.880209452311198
resunet_spc,plain,0.275,0.88138720591863
resunet_spc,plain,0.3,0.8824095956484478
resunet_spc,plain,0.325,0.8832663782437642
resunet_spc,plain,0.35,0.8840308721860249
resunet_spc,plain,0.375,0.8846039899190267
resunet_spc,plain,0.4,0.8850621438026428
resunet_spc,plain,0.425,0.8853836067517599
resunet_spc,plain,0.45,0.8857188947995503
resunet_spc,plain,0.475,0.8859478735923766
resunet_spc,plain,0.5,0.8861494787534078
resunet_spc,plain,0.525,0.8862586426734924
resunet_spc,plain,0.55,0.8863601430257161
resunet_spc,plain,0.575,0.8863714941342672
resunet_spc,plain,0.6,0.8863160157203674
resunet_spc,plain,0.625,0.8861554646492005
resunet_spc,plain,0.65,0.8859167822202046
