model,seed,mode,threshold,val_dice
resunet_spc,42,plain,0.2,0.8712422895431519
resunet_spc,42,plain,0.225,0.8733887791633606
resunet_spc,42,plain,0.25,0.8750938987731933
resunet_spc,42,plain,0.275,0.8764137506484986
resunet_spc,42,plain,0.3,0.8777066349983216
resunet_spc,42,plain,0.325,0.8787593984603882
resunet_spc,42,plain,0.35,0.8797119998931885
resunet_spc,42,plain,0.375,0.8804678606987
resunet_spc,42,plain,0.4,0.8810422658920288
resunet_spc,42,plain,0.425,0.8814876127243042
resunet_spc,42,plain,0.45,0.8819240903854371
resunet_spc,42,plain,0.475,0.8823185682296752
resunet_spc,42,plain,0.5,0.8825393462181091
resunet_spc,42,plain,0.525,0.8826305437088012
resunet_spc,42,plain,0.55,0.8827212691307068
resunet_spc,42,plain,0.575,0.8827230954170227
resunet_spc,42,plain,0.6,0.8827307629585266
resunet_spc,42,plain,0.625,0.8825584411621094
resunet_spc,42,plain,0.65,0.8822530698776245
resunet_spc,42,hflip,0.2,0.8694325137138367
resunet_spc,42,hflip,0.225,0.8720866394042969
resunet_spc,42,hflip,0.25,0.8740529155731201
resunet_spc,42,hflip,0.275,0.8757012414932251
resunet_spc,42,hflip,0.3,0.8773208856582642
resunet_spc,42,hflip,0.325,0.8786472272872925
resunet_spc,42,hflip,0.35,0.8799219489097595
resunet_spc,42,hflip,0.375,0.8811757588386535
resunet_spc,42,hflip,0.4,0.8821082973480224
resunet_spc,42,hflip,0.425,0.8828745627403259
resunet_spc,42,hflip,0.45,0.8833635520935058
resunet_spc,42,hflip,0.475,0.8834447956085205
resunet_spc,42,hflip,0.5,0.8835485649108886
resunet_spc,42,hflip,0.525,0.8827350568771363
resunet_spc,42,hflip,0.55,0.8826677703857422
resunet_spc,42,hflip,0.575,0.8827306580543518
resunet_spc,42,hflip,0.6,0.8826216244697571
resunet_spc,42,hflip,0.625,0.8822795414924621
resunet_spc,42,hflip,0.65,0.8818450188636779
resunet_spc,43,plain,0.2,0.8768101716041565
resunet_spc,43,plain,0.225,0.8783750104904174
resunet_spc,43,plain,0.25,0.8795183706283569
resunet_spc,43,plain,0.275,0.8804547476768494
resunet_spc,43,plain,0.3,0.8812509155273438
resunet_spc,43,plain,0.325,0.8819919657707215
resunet_spc,43,plain,0.35,0.8827349591255188
resunet_spc,43,plain,0.375,0.8833278226852417
resunet_spc,43,plain,0.4,0.8838280010223388
resunet_spc,43,plain,0.425,0.884170651435852
resunet_spc,43,plain,0.45,0.8845188570022583
resunet_spc,43,plain,0.475,0.8847509884834289
resunet_spc,43,plain,0.5,0.885014362335205
resunet_spc,43,plain,0.525,0.8851770567893982
resunet_spc,43,plain,0.55,0.8852946376800537
resunet_spc,43,plain,0.575,0.88538583278656
resunet_spc,43,plain,0.6,0.8853384304046631
resunet_spc,43,plain,0.625,0.8853217124938965
resunet_spc,43,plain,0.65,0.8852434802055359
resunet_spc,43,hflip,0.2,0.87329261302948
resunet_spc,43,hflip,0.225,0.8752875304222107
resunet_spc,43,hflip,0.25,0.8768723058700562
resunet_spc,43,hflip,0.275,0.8783074855804444
resunet_spc,43,hflip,0.3,0.8796123266220093
resunet_spc,43,hflip,0.325,0.880803599357605
resunet_spc,43,hflip,0.35,0.8817532873153686
resunet_spc,43,hflip,0.375,0.8827463865280152
resunet_spc,43,hflip,0.4,0.8836238813400269
resunet_spc,43,hflip,0.425,0.8843669652938843
resunet_spc,43,hflip,0.45,0.8851651883125305
resunet_spc,43,hflip,0.475,0.8856860113143921
resunet_spc,43,hflip,0.5,0.8861233210563659
resunet_spc,43,hflip,0.525,0.8863859605789185
resunet_spc,43,hflip,0.55,0.8862557363510132
resunet_spc,43,hflip,0.575,0.8861216592788697
resunet_spc,43,hflip,0.6,0.886201548576355
resunet_spc,43,hflip,0.625,0.8862209510803223
resunet_spc,43,hflip,0.65,0.8859930014610291
resunet_spc,44,plain,0.2,0.8826084661483765
resunet_spc,44,plain,0.225,0.8845286178588867
resunet_spc,44,plain,0.25,0.8860160875320434
resunet_spc,44,plain,0.275,0.887293119430542
resunet_spc,44,plain,0.3,0.8882712364196778
resunet_spc,44,plain,0.325,0.8890477705001831
resunet_spc,44,plain,0.35,0.8896456575393676
resunet_spc,44,plain,0.375,0.8900162863731385
resunet_spc,44,plain,0.4,0.8903161644935608
resunet_spc,44,plain,0.425,0.8904925560951233
resunet_spc,44,plain,0.45,0.8907137370109558
resunet_spc,44,plain,0.475,0.8907740640640259
resunet_spc,44,plain,0.5,0.8908947277069091
resunet_spc,44,plain,0.525,0.8909683275222778
resunet_spc,44,plain,0.55,0.891064522266388
resunet_spc,44,plain,0.575,0.8910055541992188
resunet_spc,44,plain,0.6,0.8908788537979127
resunet_spc,44,plain,0.625,0.8905862402915955
resunet_spc,44,plain,0.65,0.8902537965774536
resunet_spc,44,hflip,0.2,0.8792156887054443
resunet_spc,44,hflip,0.225,0.8818486261367798
resunet_spc,44,hflip,0.25,0.8839434504508972
resunet_spc,44,hflip,0.275,0.8856552886962891
resunet_spc,44,hflip,0.3,0.8870845603942871
resunet_spc,44,hflip,0.325,0.8882136607170105
resunet_spc,44,hflip,0.35,0.8896054887771606
resunet_spc,44,hflip,0.375,0.8907526707649231
resunet_spc,44,hflip,0.4,0.8917971253395081
resunet_spc,44,hflip,0.425,0.8928492736816406
resunet_spc,44,hflip,0.45,0.8935707759857178
resunet_spc,44,hflip,0.475,0.8941432690620422
resunet_spc,44,hflip,0.5,0.8950296640396118
resunet_spc,44,hflip,0.525,0.895229184627533
resunet_spc,44,hflip,0.55,0.8950445652008057
resunet_spc,44,hflip,0.575,0.8944638037681579
resunet_spc,44,hflip,0.6,0.893742368221283
resunet_spc,44,hflip,0.625,0.8929617857933044
resunet_spc,44,hflip,0.65,0.892019464969635
