model,mode,threshold,val_dice
resunet_spc_region,hflip,0.2,0.8662761521339416
resunet_spc_region,hflip,0.225,0.8691731119155883
resunet_spc_region,hflip,0.25,0.8713464689254761
resunet_spc_region,hflip,0.275,0.873118543624878
resunet_spc_region,hflip,0.3,0.8746161150932312
resunet_spc_region,hflip,0.325,0.8758440065383911
resunet_spc_region,hflip,0.35,0.8768986105918884
resunet_spc_region,hflip,0.375,0.8777986645698548
resunet_spc_region,hflip,0.4,0.8786097192764282
resunet_spc_region,hflip,0.425,0.8793191146850586
resunet_spc_region,hflip,0.45,0.879810495376587
resunet_spc_region,hflip,0.475,0.8800510334968566
resunet_spc_region,hflip,0.5,0.8800602173805236
resunet_spc_region,hflip,0.525,0.8796291995048523
resunet_spc_region,hflip,0.55,0.8793847799301148
resunet_spc_region,hflip,0.575,0.878974256515503
resunet_spc_region,hflip,0.6,0.8786769032478332
resunet_spc_region,hflip,0.625,0.8781714105606079
resunet_spc_region,hflip,0.65,0.877632954120636
resunet_spc_region,plain,0.2,0.8691711640357971
resunet_spc_region,plain,0.225,0.8716278195381164
resunet_spc_region,plain,0.25,0.8734985327720642
resunet_spc_region,plain,0.275,0.8751698231697083
resunet_spc_region,plain,0.3,0.8765902352333069
resunet_spc_region,plain,0.325,0.8779120492935181
resunet_spc_region,plain,0.35,0.8791880488395691
resunet_spc_region,plain,0.375,0.8803024744987488
resunet_spc_region,plain,0.4,0.8811982655525208
resunet_spc_region,plain,0.425,0.8820666146278381
resunet_spc_region,plain,0.45,0.8826265001296997
resunet_spc_region,plain,0.475,0.8831842589378357
resunet_spc_region,plain,0.5,0.8834100198745728
resunet_spc_region,plain,0.525,0.8834083867073059
resunet_spc_region,plain,0.55,0.8832900381088257
resunet_spc_region,plain,0.575,0.8830949735641479
resunet_spc_region,plain,0.6,0.8827575445175171
resunet_spc_region,plain,0.625,0.882241141796112
resunet_spc_region,plain,0.65,0.8816515946388245
