model,mode,threshold,val_dice
unetpp,hflip,0.2,0.5851533603668213
unetpp,hflip,0.225,0.5959458303451538
unetpp,hflip,0.25,0.6091311168670654
unetpp,hflip,0.275,0.6333839559555053
unetpp,hflip,0.3,0.6753209614753723
unetpp,hflip,0.325,0.7488978600502014
unetpp,hflip,0.35,0.7729274606704712
unetpp,hflip,0.375,0.7875571250915527
unetpp,hflip,0.4,0.7976682281494141
unetpp,hflip,0.425,0.8079582619667053
unetpp,hflip,0.45,0.8173826217651368
unetpp,hflip,0.475,0.8273026061058044
unetpp,hflip,0.5,0.8751430130004882
unetpp,hflip,0.525,0.8802840757369995
unetpp,hflip,0.55,0.8828715610504151
unetpp,hflip,0.575,0.8839153838157654
unetpp,hflip,0.6,0.8839450645446777
unetpp,hflip,0.625,0.8833266067504882
unetpp,hflip,0.65,0.8824391222000122
unetpp,plain,0.2,0.6014032053947449
unetpp,plain,0.225,0.6098226737976075
unetpp,plain,0.25,0.6209937477111817
unetpp,plain,0.275,0.6437291049957276
unetpp,plain,0.3,0.6816722631454468
unetpp,plain,0.325,0.72815927028656
unetpp,plain,0.35,0.7464034342765808
unetpp,plain,0.375,0.7555445194244385
unetpp,plain,0.4,0.7642316055297852
unetpp,plain,0.425,0.7724769735336303
unetpp,plain,0.45,0.7812580132484436
unetpp,plain,0.475,0.7914494442939758
unetpp,plain,0.5,0.8692715191841125
unetpp,plain,0.525,0.8748347425460815
unetpp,plain,0.55,0.8766758680343628
unetpp,plain,0.575,0.8774498534202576
unetpp,plain,0.6,0.8775737428665161
unetpp,plain,0.625,0.8768690085411072
unetpp,plain,0.65,0.8758752346038818
