model,method,dataset,n_seeds,dice_mean,dice_sd_seeds,iou_mean,iou_sd_seeds,hd95_mean,hd95_sd_seeds,mae_mean,mae_sd_seeds
deeplabv3p,DeepLabV3+,cvc,1,0.6794978908261335,,0.5794011516045916,,48.0550296214563,,0.05738745434577332,
deeplabv3p,DeepLabV3+,cvc_dedup,1,0.6786366487664998,,0.5799259492797872,,49.52584157928174,,0.057873417012659564,
deeplabv3p,DeepLabV3+,kvasir,1,0.8723991362011183,,0.801951693147992,,20.953512345251152,,0.04972075881436467,
resunet,U-Net (ResNet-18),cvc,3,0.6822579467910662,0.01600045825126805,0.594419757973072,0.013387540598254888,61.0573633461556,9.140735964041072,0.06140504112842967,0.01088179205136335
resunet,U-Net (ResNet-18),cvc_dedup,3,0.6764818188331071,0.015198993321017795,0.5902624560212121,0.011827597750734666,63.623408719283454,9.365153607014799,0.06267613880957167,0.01136970529020217
resunet,U-Net (ResNet-18),kvasir,3,0.8768780981760543,0.012300568937049935,0.8109219857937418,0.017714906465377083,22.04056232715824,2.4880010376126216,0.05838780235809585,0.011405338723519448
resunet_dsp,+ DSP,cvc,1,0.6833200246944844,,0.5928347915426894,,57.521062138001156,,0.05942945014195223,
resunet_dsp,+ DSP,cvc_dedup,1,0.676322435615901,,0.5875436835220323,,59.98991557451311,,0.06091772219432252,
resunet_dsp,+ DSP,kvasir,1,0.8711522034555673,,0.8009492262080312,,21.979832068081297,,0.06377127595245838,
resunet_spc,+ DSP + SPC (ours),cvc,3,0.7045827299379069,0.012273502260777638,0.6153109785120999,0.013856762204930104,51.05557220665033,2.158901568687697,0.05500636356229191,0.007130497665313409
resunet_spc,+ DSP + SPC (ours),cvc_dedup,3,0.6996916305546387,0.0101254408337352,0.6117705098451318,0.01095648568987523,52.7475165452481,2.126826728527547,0.05599823820803846,0.007385827609227493
resunet_spc,+ DSP + SPC (ours),kvasir,3,0.8796617028064436,0.006327815482714466,0.8148861616859243,0.007400014506168948,20.644425219767573,1.3309294890737793,0.05306927826566001,0.008391763260473115
resunet_spc_region,+ DSP + region consistency,cvc,1,0.6818019532201542,,0.5931282489424702,,57.21850116640051,,0.06380573427304626,
resunet_spc_region,+ DSP + region consistency,cvc_dedup,1,0.6719158039076336,,0.5845864674566829,,60.02585534198512,,0.06585387411394289,
resunet_spc_region,+ DSP + region consistency,kvasir,1,0.8756618593655496,,0.8070376838766008,,23.54919929423901,,0.060321662295609715,
unetpp,U-Net++,cvc,1,0.6253697100085375,,0.5378147149025679,,83.93623255816247,,0.1845041259731117,
unetpp,U-Net++,cvc_dedup,1,0.6280440477845911,,0.5404982041087255,,82.09248248667433,,0.18484111607074738,
unetpp,U-Net++,kvasir,1,0.8720988650619984,,0.8038461835868657,,19.81437045935708,,0.1818939307332039,
