model,dataset,seed,split_seed,checkpoint,checkpoint_sha256,best_epoch,best_val_dice,init_checkpoint,deduplicate_exact_pairs,mc_samples,calibration_dataset,inference_mode,threshold,n_images,dice,dice_std_images,iou,iou_std_images,hd95,hd95_std_images,mae,mae_std_images,source_file
deeplabv3p,cvc,42,20260822,<EXPERIMENT_ROOT>/bspc_optimized_runs/deeplabv3p/seed42/best_model.pth,f81886358df1a8e6b998111f28be6822c9040c5f17f6a356139eb58c687f1494,6,0.8665509954097065,,False,1,Kvasir-SEG fixed validation subset only,hflip,0.5,380,0.6794978908261335,0.2988580787094176,0.5794011516045916,0.29174170481024636,48.0550296214563,83.01010001650135,0.05738745434577332,0.07298808438003918,<EXPERIMENT_ROOT>/bspc_optimized_eval/deeplabv3p/seed42/cvc/summary.json
deeplabv3p,cvc_dedup,42,20260822,<EXPERIMENT_ROOT>/bspc_optimized_runs/deeplabv3p/seed42/best_model.pth,f81886358df1a8e6b998111f28be6822c9040c5f17f6a356139eb58c687f1494,6,0.8665509954097065,,True,1,Kvasir-SEG fixed validation subset only,hflip,0.5,350,0.6786366487664998,0.30339586017345227,0.5799259492797872,0.29425633828428455,49.52584157928174,85.71492886013269,0.057873417012659564,0.07446876732232008,<EXPERIMENT_ROOT>/bspc_optimized_eval/deeplabv3p/seed42/cvc_dedup/summary.json
deeplabv3p,kvasir,42,20260822,<EXPERIMENT_ROOT>/bspc_optimized_runs/deeplabv3p/seed42/best_model.pth,f81886358df1a8e6b998111f28be6822c9040c5f17f6a356139eb58c687f1494,6,0.8665509954097065,,False,1,Kvasir-SEG fixed validation subset only,hflip,0.5,100,0.8723991362011183,0.17192867347136345,0.801951693147992,0.19084670861355152,20.953512345251152,42.12491910923336,0.04972075881436467,0.05250473760474844,<EXPERIMENT_ROOT>/bspc_optimized_eval/deeplabv3p/seed42/kvasir/summary.json
resunet,cvc,42,20260822,<EXPERIMENT_ROOT>/bspc_optimized_runs/resunet/seed42/best_model.pth,42a47689f44529b4b5502f7278fedaa1d9afa0c3780d1a3a0e2469299f4f1dcd,4,0.8749936485291776,,False,1,Kvasir-SEG fixed validation subset only,hflip,0.5,380,0.6677237159652737,0.34173121318667915,0.5831435242604002,0.32431459569429644,68.67653240623538,114.83251950270972,0.07320809140801429,0.08067608756037017,<EXPERIMENT_ROOT>/bspc_optimized_eval/resunet/seed42/cvc/summary.json
resunet,cvc_dedup,42,20260822,<EXPERIMENT_ROOT>/bspc_optimized_runs/resunet/seed42/best_model.pth,42a47689f44529b4b5502f7278fedaa1d9afa0c3780d1a3a0e2469299f4f1dcd,4,0.8749936485291776,,True,1,Kvasir-SEG fixed validation subset only,hflip,0.5,350,0.6604262758451911,0.3486124483334271,0.5778108858646158,0.3307062471158853,71.38238260288279,117.6558952931469,0.07496968473706926,0.08352195470245466,<EXPERIMENT_ROOT>/bspc_optimized_eval/resunet/seed42/cvc_dedup/summary.json
resunet,kvasir,42,20260822,<EXPERIMENT_ROOT>/bspc_optimized_runs/resunet/seed42/best_model.pth,42a47689f44529b4b5502f7278fedaa1d9afa0c3780d1a3a0e2469299f4f1dcd,4,0.8749936485291776,,False,1,Kvasir-SEG fixed validation subset only,hflip,0.5,100,0.8681913578532605,0.17066998898126548,0.795961064326015,0.19683397755951945,24.162125780923404,43.98764175600531,0.07145873870700598,0.04949841219925681,<EXPERIMENT_ROOT>/bspc_optimized_eval/resunet/seed42/kvasir/summary.json
resunet,cvc,43,20260822,<EXPERIMENT_ROOT>/bspc_optimized_runs/resunet/seed43/best_model.pth,2381635af03a7e213166d950f75f73cc3d4f1932d5e7e4e1203f1766af11727e,6,0.88012015700348,,False,1,Kvasir-SEG fixed validation subset only,hflip,0.5,380,0.6994034104959346,0.31277017593138307,0.6092154486463545,0.30224002800868016,50.92209694854158,84.64193646102564,0.051771304670623255,0.06319662768953174,<EXPERIMENT_ROOT>/bspc_optimized_eval/resunet/seed43/cvc/summary.json
resunet,cvc_dedup,43,20260822,<EXPERIMENT_ROOT>/bspc_optimized_runs/resunet/seed43/best_model.pth,2381635af03a7e213166d950f75f73cc3d4f1932d5e7e4e1203f1766af11727e,6,0.88012015700348,,True,1,Kvasir-SEG fixed validation subset only,hflip,0.5,350,0.6906475095587534,0.3196763033054114,0.6013473427685129,0.30778983702857826,53.22051428690036,87.35851500894735,0.05253915973805955,0.06424428575765509,<EXPERIMENT_ROOT>/bspc_optimized_eval/resunet/seed43/cvc_dedup/summary.json
resunet,kvasir,43,20260822,<EXPERIMENT_ROOT>/bspc_optimized_runs/resunet/seed43/best_model.pth,2381635af03a7e213166d950f75f73cc3d4f1932d5e7e4e1203f1766af11727e,6,0.88012015700348,,False,1,Kvasir-SEG fixed validation subset only,hflip,0.5,100,0.8714895927166689,0.18952920837634468,0.8063216339429964,0.2086569790764715,22.657390670255424,42.80759987158086,0.050457802498713136,0.05500443289604511,<EXPERIMENT_ROOT>/bspc_optimized_eval/resunet/seed43/kvasir/summary.json
resunet,cvc,44,20260822,<EXPERIMENT_ROOT>/bspc_optimized_runs/resunet/seed44/best_model.pth,ca6fe6911acbeec6d95c987d468cfa62433388ed36194fb1968b80b3d9b628d4,8,0.8842790853994685,,False,1,Kvasir-SEG fixed validation subset only,hflip,0.5,380,0.6796467139119902,0.32423972128667666,0.5909003010124613,0.31561646762109313,63.573460683689824,110.15704498851129,0.05923572730665144,0.07934674608035501,<EXPERIMENT_ROOT>/bspc_optimized_eval/resunet/seed44/cvc/summary.json
